sku,bag_closure,bag_compartment,_store,_attribute_set,_type,_category,_root_category,_product_websites,art,blouse_color,blouse_fabric,bottom_color,bottom_fabric,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,dupatta_color,dupatta_fabric,fabric,featured,fit,gallery,gift_message_available,has_options,image,image_label,kurta_color,kurta_fabric,lehenga_color,lehenga_fabric,length,mage_featured_product,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,neck,news_from_date,news_to_date,occasion,options_container,our_brand,page_layout,pattern,price,required_options,saree_border,saree_color,saree_fabric,saree_style,short_description,size,sleeve,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,timershow,updated_at,url_key,url_path,visibility,weight,work,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,saree_work,style,stitching
KFFB30345,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Black,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Black,Chiffon,,,,,,,,,Pink,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Pink color and salwar of Black color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Pink color and salwar of Black color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Pink color and salwar of Black color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
KFFB30346,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Cream,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Orange,Chiffon,,,,,,,,,Cream,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Cream color and salwar of Cream color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Cream color and salwar of Cream color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Cream color and salwar of Cream color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacquard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFFB30347,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Black,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Red,Chiffon,,,,,,,,,Black,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Black color and salwar of Black color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Black color and salwar of Black color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Black color and salwar of Black color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacquard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFFB30348,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Orange,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Orange,Chiffon,,,,,,,,,Red,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Red color and salwar of Orange color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Red color and salwar of Orange color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Red color and salwar of Orange color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
KFFB30349,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Pink,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Pink,Chiffon,,,,,,,,,Pink,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Pink color and salwar of Pink color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Pink color and salwar of Pink color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Pink color and salwar of Pink color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
KFFB30350,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Black,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Black,Chiffon,,,,,,,,,Blue,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Blue color and salwar of Black color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Blue color and salwar of Black color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Blue color and salwar of Black color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
KFFB30351,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Cream,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Cream,Chiffon,,,,,,,,,Black,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Black color and salwar of Cream color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Black color and salwar of Cream color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Black color and salwar of Cream color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
KFFB30352,,,,Kurta & Salwar,simple,Clothing/Kurta & Salwar/Patiala Suits,Kraftstory Categories,base,,,,Orange,Santoon,,,,,,,,,Unstitched Patiala suit with 2.25 meters Kurta 3 meters salwar and 2.25 meters dupatta dress material,Orange,Chiffon,,,,,,,,,Cream,Cotton,,,,,,,,Buy Patiala style semi-stitched Salwar suit of kurta Cream color and salwar of Orange color Online at KraftStory with Best Price Guaranteed * COD * 7 Day Return,,Buy Patiala style semi-stitched Salwar suit of kurta Cream color and salwar of Orange color Online only at KraftStory,,2757,,,Patiala style semi-stitched Salwar suit of kurta Cream color and salwar of Orange color,,,,,,Fabiona,,,2121,,,,,,<br>,,,,,,,,1,0,,,,,,,4,1000,Embroidery,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patiala,Unstitched
